word,pinyin,translation,word_type
的,de,"possessive, adjectival suffix",particle
一,yī,"one; a, an; alone",numeral
是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",verb
不,bù,"no, not; un-; negative prefix",adverb
了,le,to finish; particle of completed action,particle
在,zài,"be at, in, on; consist in, rest",preposition/verb
人,rén,man; people; mankind; someone else,noun
有,yǒu,"have, own, possess; exist",verb
我,wǒ,"our, us, i, me, my, we",pronoun
他,tā,"other, another; he, she, it",pronoun
这,zhè,"this, the, here",pronoun/demonstrative
个,gè,"numerary adjunct, piece; single",measure word
们,men,adjunct pronoun indicate plural,particle (plural marker)
中,zhōng,"central; center, middle; in the midst of; hit (target); attain",noun/preposition
来,lái,"come, coming; return, returning",verb
上,shàng,"top; superior, highest; go up, send up",noun/preposition/verb
大,dà,"big, great, vast, large, high",adjective
为,wèi,"do, handle, govern, act; be",preposition/verb
和,hé,"harmony, peace; peaceful, calm",conjunction
国,guó,"nation, country, nation-state",noun
地,dì,"earth; soil, ground; region",noun/adverb
到,dào,"go to, arrive, been to",verb
以,yǐ,"by means of; thereby, therefore; consider as; in order to",preposition
说,shuō,"speak, say, talk; scold, upbraid",verb
时,shí,"time, season; era, age, period",noun
要,yào,"necessary, essential; necessity",verb/modal verb
就,jiù,"just, simply; to come, go to; to approach, near",adverb
出,chū,"go out, send out; stand; produce",verb
会,huì,"assemble, meet together; meeting",verb/modal verb
可,kě,"may, can, -able; possibly",adverb
也,yě,also; classical final particle of strong affirmation or identity,adverb
你,nǐ,"you, second person pronoun",pronoun
对,duì,"correct, right; facing, opposed",preposition/adjective
生,shēng,"life, living, lifetime; birth",noun/verb
能,néng,"to be able; can, permitted to; ability",modal verb
而,ér,and; and then; and yet; but,conjunction
子,zǐ,"offspring, child; fruit, seed of; 1st terrestrial branch",noun (suffix)
那,nà,"that, that one, those",pronoun/demonstrative
得,dé,"obtain, get, gain, acquire",particle
于,yú,"in, on, at; go to; surname",preposition
着,zháo,"make move, take action",particle
下,xià,"under, underneath, below; down; inferior; bring down",noun/preposition/verb
自,zì,"self, private, personal; from",pronoun (prefix)
之,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",particle
年,nián,year; new-years; person's age,noun
过,guò,"pass, pass through, go across",verb
发,fā,"issue, dispatch, send out; hair",verb
后,hòu,"queen, empress, sovereign; (simp. for 後) behind, rear, after",noun/preposition
作,zuò,"make; work; compose, write; act, perform",verb
里,lǐ,unit of distance; village; lane,noun/preposition
用,yòng,"use, employ, apply, operate; use",verb
道,dào,"path, road, street; method, way",noun/verb
行,xíng,"go; walk; move, travel; circulate",noun/verb
所,suǒ,"place, location; numerary adjunct",noun
然,rán,"yes, certainly; pledge, promise",particle
家,jiā,"house, home, residence; family",noun
种,zhǒng,"seed; race, breed; to plant",noun/verb/measure word
事,shì,"affair, matter, business; to serve; accident, incident",noun
成,chéng,"completed, finished, fixed",verb
方,fāng,"a square, rectangle; a region; local",noun
多,duō,"much, many; more than, over",adjective/adverb
经,jīng,classic works; pass through,verb
么,yāo,interrogative particle; repetition of a tune small; tender,particle
去,qù,"go away, leave, depart",verb
法,fǎ,"law, rule, regulation, statute; France, French",noun
学,xué,"learning, knowledge; school",noun/verb
如,rú,"if, supposing; as if; like, as",conjunction
都,dū,"metropolis, capital; all, the whole; elegant, refined",adverb
同,tóng,"same, similar; together with",adjective/verb
现,xiàn,"appear, manifest, become visible",verb
当,dāng,"bear, accept, undertake; just",verb/preposition
没,méi,"not, have not, none; drown, sink",adverb
动,dòng,"move, happen; movement, action",verb
面,miàn,"face; surface; plane; side, dimension",noun
起,qǐ,"rise, stand up; go up; begin",verb
看,kàn,"look, see; examine, scrutinize",verb
定,dìng,"decide, settle, fix",verb
天,tiān,"sky, heaven; god, celestial",noun
分,fēn,divide; small unit of time etc.,noun/verb
还,huán,"still, yet, also, besides",adverb
进,jìn,"advance, make progress, enter",verb
好,hǎo,"good, excellent, fine; well",adjective/adverb
小,xiǎo,"small, tiny, insignificant",adjective
部,bù,"part, division, section",noun
其,qí,"his, her, its, their; that",pronoun
些,xiē,"little, few; rather, somewhat",pronoun/measure word
主,zhǔ,"master, chief owner; host; lord",noun/adjective
样,yáng,"shape, form, pattern, style",noun
理,lǐ,"reason, logic; manage",noun
心,xīn,"heart; mind, intelligence; soul",noun
她,tā,"she, her",pronoun
本,běn,"root, origin, source; basis",noun/adjective
前,qián,"in front, forward; preceding",noun/preposition
开,kāi,"open; initiate, begin, start",verb
但,dàn,"only; but, however, yet, still",conjunction
因,yīn,"cause, reason; by; because (of)",conjunction
只,zhǐ,"only, just, simply",adverb
从,cóng,"from, by, since, whence, through",preposition
想,xiǎng,"think, speculate, plan, consider",verb
实,shí,"real, true; honest, sincere",adjective/noun
日,rì,sun; day; daytime,noun
军,jūn,"army, military; soldiers, troops",noun
者,zhě,that which; he who; those who,noun (suffix)
意,yì,"thought, idea, opinion; think",noun
无,wú,"negative, no, not; KangXi radical 71",adjective/adverb
力,lì,"power, capability, influence",noun
它,tā,it; other,pronoun
与,yǔ,"and; with; to; for; give, grant",conjunction
长,cháng,long; length; excel in; leader,adjective/verb
把,bǎ,"hold, take; guard; regard as",verb/preposition
机,jī,desk; machine; moment,noun
十,shí,"ten, tenth; complete; perfect",numeral
民,mín,"people, subjects, citizens",noun
第,dì,"sequence, number; grade, degree",numeral (prefix)
公,gōng,"fair, equitable; public; duke",adjective/noun
此,cǐ,"this, these; in this case, then",pronoun
已,yǐ,already; finished; stop,adverb
工,gōng,"labor, work; worker, laborer",noun
使,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador",verb
情,qíng,"feeling, sentiment, emotion",noun
明,míng,"bright, light, brilliant; clear",adjective
性,xìng,"nature, character, sex",noun
知,zhī,"know, perceive, comprehend",verb
全,quán,"maintain, keep whole or intact",adjective
三,sān,three,numeral
又,yòu,"and, also, again, in addition",adverb
关,guān,frontier pass; close; relation,verb/noun
点,diǎn,"dot, speck, spot; point, degree",noun/verb
正,zhèng,"right, proper, correct",adjective/adverb
业,yè,"profession, business; GB radical 111",noun
外,wài,"out, outside, external; foreign",noun/adjective
将,jiāng,"will, going to, future; general",verb/noun
两,liǎng,"two, both, pair, couple; ounce",numeral
高,gāo,"high, tall; lofty, elevated",adjective
间,jiān,"midpoint, space; place, locality",noun
由,yóu,"cause, reason; from",preposition
问,wèn,"ask about, inquire after",verb
很,hěn,"very, quite, much",adverb
最,zuì,"most, extremely, exceedingly",adverb
重,zhòng,"heavy, weighty; double",adjective/noun
